question_number,question,answer
1,What is a confined space?,"A confined space has; Limited means of entry and/or exit, Is large enough for a worker to enter it, and Is not intended for regular/continuous occupancy. Examples may include sewers, pits, crawl spaces, attics, boilers, and many more. A confined space has; Limited means of entry and/or exit, Is large enough for a worker to enter it, and Is not intended for regular/continuous occupancy. Limited means of entry and/or exit, Is large enough for a worker to enter it, and Is not intended for regular/continuous occupancy. Examples may include sewers, pits, crawl spaces, attics, boilers, and many more."
2,What is a permit required confined space (permit space)?,"A permit space is a confined space that may have a hazardous atmosphere, engulfment hazard, or other serious hazard, such as exposed wiring, that can interfere with a worker's ability to leave the space without assistance A permit space is a confined space that may have a hazardous atmosphere, engulfment hazard, or other serious hazard, such as exposed wiring, that can interfere with a worker's ability to leave the space without assistance"
3,Can anyone work in a permit space?,"Only workers who have been assigned and trained to work in a permit space may do so. Additionally, before workers can enter a permit space, the employer has to write a permit that specifies what safety measures must to be taken and who is allowed to go in. Only workers who have been assigned and trained to work in a permit space may do so. Additionally, before workers can enter a permit space, the employer has to write a permit that specifies what safety measures must to be taken and who is allowed to go in."
4,How do I know whether to follow the general industry or construction confined space rule?,If you are doing construction work - such as building a new structure or upgrading an old one - then you must follow the construction confined space rule. If you are doing construction work - such as building a new structure or upgrading an old one - then you must follow the construction confined space rule.
5,I've been following the general industry rule. What is new or different about the construction rule?,"There are 5 key differences from the construction rule, and several areas where OSHA has clarified existing requirements. The five new requirements include: More detailed provisions requiring coordinated activities when there are multiple employers at the worksite (for more detail, see question 16 , below). This will ensure hazards are not introduced into a confined space by workers performing tasks outside the space. An example would be a generator running near the entrance of a confined space causing a buildup of carbon monoxide within the space. Requiring a competent person to evaluate the work site and identify confined spaces, including permit spaces. Requiring continuous atmospheric monitoring whenever possible. Requiring continuous monitoring of engulfment hazards. For example, when workers are performing work in a storm sewer, a storm upstream from the workers could cause flash flooding. An electronic sensor or observer posted upstream from the work site could alert workers in the space at the first sign of the hazard, giving the workers time to evacuate the space safely. Allowing for the suspension of a permit, instead of cancellation, in the event of changes from the entry conditions list on the permit or an unexpected event requiring evacuation of the space. The space must be returned to the entry conditions listed on the permit before re-entry. In addition, OSHA has added provisions to the new rule that clarifies existing requirements in the General Industry standard. These include: Requiring that employers who direct workers to enter a space without using a complete permit system prevent workers' exposure to physical hazards through elimination of the hazard or isolation methods such as lockout/tagout. Requiring that employers who are relying on local emergency services for emergency services arrange for responders to give the employer advance notice if they will be unable to respond for a period of time (because they are responding to another emergency, attending department-wide training, etc.). Requiring employers to provide training in a language and vocabulary that the worker understands. Finally, several terms have been added to the definitions for the construction rule, such as ""entry employer"" to describe the employer who directs workers to enter a space, and ""entry rescue"", added to clarify the differences in the types of rescue employers can use. There are 5 key differences from the construction rule, and several areas where OSHA has clarified existing requirements. The five new requirements include: More detailed provisions requiring coordinated activities when there are multiple employers at the worksite (for more detail, see question 16 , below). This will ensure hazards are not introduced into a confined space by workers performing tasks outside the space. An example would be a generator running near the entrance of a confined space causing a buildup of carbon monoxide within the space. Requiring a competent person to evaluate the work site and identify confined spaces, including permit spaces. Requiring continuous atmospheric monitoring whenever possible. Requiring continuous monitoring of engulfment hazards. For example, when workers are performing work in a storm sewer, a storm upstream from the workers could cause flash flooding. An electronic sensor or observer posted upstream from the work site could alert workers in the space at the first sign of the hazard, giving the workers time to evacuate the space safely. Allowing for the suspension of a permit, instead of cancellation, in the event of changes from the entry conditions list on the permit or an unexpected event requiring evacuation of the space. The space must be returned to the entry conditions listed on the permit before re-entry. More detailed provisions requiring coordinated activities when there are multiple employers at the worksite (for more detail, see question 16 , below). This will ensure hazards are not introduced into a confined space by workers performing tasks outside the space. An example would be a generator running near the entrance of a confined space causing a buildup of carbon monoxide within the space. Requiring a competent person to evaluate the work site and identify confined spaces, including permit spaces. Requiring continuous atmospheric monitoring whenever possible. Requiring continuous monitoring of engulfment hazards. For example, when workers are performing work in a storm sewer, a storm upstream from the workers could cause flash flooding. An electronic sensor or observer posted upstream from the work site could alert workers in the space at the first sign of the hazard, giving the workers time to evacuate the space safely. Allowing for the suspension of a permit, instead of cancellation, in the event of changes from the entry conditions list on the permit or an unexpected event requiring evacuation of the space. The space must be returned to the entry conditions listed on the permit before re-entry. In addition, OSHA has added provisions to the new rule that clarifies existing requirements in the General Industry standard. These include: Requiring that employers who direct workers to enter a space without using a complete permit system prevent workers' exposure to physical hazards through elimination of the hazard or isolation methods such as lockout/tagout. Requiring that employers who are relying on local emergency services for emergency services arrange for responders to give the employer advance notice if they will be unable to respond for a period of time (because they are responding to another emergency, attending department-wide training, etc.). Requiring employers to provide training in a language and vocabulary that the worker understands. Requiring that employers who direct workers to enter a space without using a complete permit system prevent workers' exposure to physical hazards through elimination of the hazard or isolation methods such as lockout/tagout. Requiring that employers who are relying on local emergency services for emergency services arrange for responders to give the employer advance notice if they will be unable to respond for a period of time (because they are responding to another emergency, attending department-wide training, etc.). Requiring employers to provide training in a language and vocabulary that the worker understands. Finally, several terms have been added to the definitions for the construction rule, such as ""entry employer"" to describe the employer who directs workers to enter a space, and ""entry rescue"", added to clarify the differences in the types of rescue employers can use."
6,Why did OSHA believe that the former standard needed to be changed?,Previously the only requirement for confined spaces in construction was training. OSHA concluded this was inadequate as injuries and fatalities continued to occur. Previously the only requirement for confined spaces in construction was training. OSHA concluded this was inadequate as injuries and fatalities continued to occur.
7,How does the new final rule differ from the rules that previously applied to construction work performed in confined spaces?,"The rule requires employers to determine what kinds of spaces their workers are in, what hazards could be there, how those hazards should be made safe, what training workers should receive, and how to rescue those workers if anything goes wrong. The rule requires employers to determine what kinds of spaces their workers are in, what hazards could be there, how those hazards should be made safe, what training workers should receive, and how to rescue those workers if anything goes wrong."
8,When does the new rule go into effect?,"August 3, 2015 August 3, 2015"
9,Do employers have to have a written confined space program?,"Yes, if workers will enter permit spaces. Yes, if workers will enter permit spaces."
10,Where can I find the final rule for Confined Spaces in Construction?,"The confined spaces standard can be found at www.osha.gov under 29 CFR Part 1926 Subpart AA - Confined Spaces in Construction. An electronic copy of the regulatory text can be accessed from OSHA's construction webpage at final rule . The preamble to the final rule can also be found on OSHA's website under ""Federal Register Notices"" for May 4, 2015 or on the Federal Register website ( https://www.federalregister.gov/ ) under Vol. 80, page 25365 . The confined spaces standard can be found at www.osha.gov under 29 CFR Part 1926 Subpart AA - Confined Spaces in Construction. An electronic copy of the regulatory text can be accessed from OSHA's construction webpage at final rule . The preamble to the final rule can also be found on OSHA's website under ""Federal Register Notices"" for May 4, 2015 or on the Federal Register website ( https://www.federalregister.gov/ ) under Vol. 80, page 25365 ."
11,Where can I get a hard copy of the final rule?,"The final rule is available in 29 CFR Part 1926, which can be ordered from the Government Printing Office at 29 CFR Part 1926 . The final rule is available in 29 CFR Part 1926, which can be ordered from the Government Printing Office at 29 CFR Part 1926 ."
12,How can I contact OSHA if I have questions about the final rule?,"For compliance assistance regarding application of the final rule contact: Directorate of Construction, Room N3468, OSHA,"
13,Who is affected by Subpart AA?,All construction employers whose workers may be exposed to confined space hazards. All construction employers whose workers may be exposed to confined space hazards.
14,"Do I need to do anything if there are permit spaces at the worksite, but my employees will not need to enter the permit space?","Yes, you must take effective steps to prevent your employees from entering the space. Yes, you must take effective steps to prevent your employees from entering the space."
15,If I hire a contractor (or subcontractor) to do work in a confined space do I have any responsibilities?,"Yes, Controlling contractors and host employers must discuss spaces on the site and their hazards with entry employers and each other before and after entry ( see question 16 , below). Yes, Controlling contractors and host employers must discuss spaces on the site and their hazards with entry employers and each other before and after entry ( see question 16 , below)."
16,"Tell me more about the conversations between host employers, controlling contractors, and entry employers.","The above diagram shows the information flow and coordination between these employers The rule makes the controlling contractor, rather than the host employer, the primary point of contact for information about permit spaces at the work site. The host employer must provide information it has about permit spaces at the work site to the controlling contractor, who then passes it on to the employers whose employees will enter the spaces (entry employers). Likewise, entry employers must give the controlling contractor information about their entry program and hazards they encounter in the space, and the controlling contractor passes that information on to other entry employers and back to the host. As mentioned above, the controlling contractor is also responsible for making sure employers outside a space know not to create hazards in the space, and that entry employers working in a space at the same time do not create hazards for one another's workers. The above diagram shows the information flow and coordination between these employers The rule makes the controlling contractor, rather than the host employer, the primary point of contact for information about permit spaces at the work site. The host employer must provide information it has about permit spaces at the work site to the controlling contractor, who then passes it on to the employers whose employees will enter the spaces (entry employers). Likewise, entry employers must give the controlling contractor information about their entry program and hazards they encounter in the space, and the controlling contractor passes that information on to other entry employers and back to the host. As mentioned above, the controlling contractor is also responsible for making sure employers outside a space know not to create hazards in the space, and that entry employers working in a space at the same time do not create hazards for one another's workers."
17,What standard should I follow if my workers are doing construction AND general industry work in confined spaces?,An employer whose workers are engaged in both construction and general industry work in confined spaces will meet OSHA requirements if that employer meets the requirements of 29 CFR 1926 Subpart AA - Confined Spaces in Construction. An employer whose workers are engaged in both construction and general industry work in confined spaces will meet OSHA requirements if that employer meets the requirements of 29 CFR 1926 Subpart AA - Confined Spaces in Construction.
18,Twenty-eight states and territories have their own OSHA-approved safety and health plans; will those states be required to adopt the new standard?,"Yes, Twenty-two states or territories currently operate their own OSHA-approved State Plans (covering private sector and state and local government employees), and five additional states and one territory (Connecticut, Illinois, New Jersey, New York and the Virgin Islands) operate plans that cover state and local government employees only. State Plans have and enforce their own occupational safety and health standards that are required to be at least as effective as OSHA's. Many State Plans adopt OSHA's standards identically, but some State Plans may have different or more stringent requirements. Yes, Twenty-two states or territories currently operate their own OSHA-approved State Plans (covering private sector and state and local government employees), and five additional states and one territory (Connecticut, Illinois, New Jersey, New York and the Virgin Islands) operate plans that cover state and local government employees only. State Plans have and enforce their own occupational safety and health standards that are required to be at least as effective as OSHA's. Many State Plans adopt OSHA's standards identically, but some State Plans may have different or more stringent requirements."
19,Where can I get more information about construction work in confined spaces?,More information is available at the www.osha.gov . More information is available at the www.osha.gov .
20,"Paragraph 1926.1203(a) requires that each employer ensure that a competent person identifies all confined spaces in which one or more of the employees it directs may work, and identifies each space that is a permit space, through consideration and evaluation of the elements of that space, including testing as necessary. If the competent person must enter the space to assess its characteristics and potential hazards, must the competent person treat the space as a permit-required confined space?","If the competent person can reasonably foresee the presence of a hazard or potential hazard that would make the space a permit-required confined space (see response to Question 2 ), the competent person must treat the space as a permit-required confined space when entering the space to assess it. However, if the competent person cannot reasonably foresee the presence of such a hazard, the competent person would not need to treat the space as a permit-required confined space when entering the space to assess it. Of course, if the competent person encounters such a hazard when assessing the space, whether or not the hazard was reasonably foreseeable, the competent person must treat the space as a permit-required space after identifying the hazard. If the competent person can reasonably foresee the presence of a hazard or potential hazard that would make the space a permit-required confined space (see response to Question 2 ), the competent person must treat the space as a permit-required confined space when entering the space to assess it. However, if the competent person cannot reasonably foresee the presence of such a hazard, the competent person would not need to treat the space as a permit-required confined space when entering the space to assess it. Of course, if the competent person encounters such a hazard when assessing the space, whether or not the hazard was reasonably foreseeable, the competent person must treat the space as a permit-required space after identifying the hazard."
21,"Does the Standard impose additional requirements on ""permit-required confined spaces"" beyond those imposed for ""confined spaces""?","Yes. In fact, the vast majority of the Standard's requirements only apply to permit-required confined spaces, and attics, basements, and crawl spaces in a residential home will not typically trigger these requirements. Once the employer's competent person 1 performs an initial evaluation and determines that a confined space does not require a permit (1926.1203(a)), the employer's only further obligations under the Standard are to have a competent person reevaluate the space and, if necessary, reclassify it as a permit-required confined space if changes in the use or configuration of the space occur that could increase the hazards or potential hazards to entrants or if the employer has any indication that the initial evaluation may have been inadequate (1926.1203(f)). If the employer's competent person determines that the space is a permit-required confined space, the following provisions also apply: entry communication and coordination (1926.1203(h)), permit-required confined space program (1926.1204), permitting process (1926.1205), entry permit (1926.1206), training (1926.1207), duties of authorized entrants, attendants, and entry supervisors (1926.1208-1210), and rescue and emergency services (1926.1211). 1: A competent person means someone who is capable of identifying existing and predictable hazards in the surroundings or working conditions which are unsanitary, hazardous, or dangerous to employees, and who has the authorization to take prompt corrective measures to eliminate them (see 1926.1202 definition of ""competent person""). Yes. In fact, the vast majority of the Standard's requirements only apply to permit-required confined spaces, and attics, basements, and crawl spaces in a residential home will not typically trigger these requirements. Once the employer's competent person 1 performs an initial evaluation and determines that a confined space does not require a permit (1926.1203(a)), the employer's only further obligations under the Standard are to have a competent person reevaluate the space and, if necessary, reclassify it as a permit-required confined space if changes in the use or configuration of the space occur that could increase the hazards or potential hazards to entrants or if the employer has any indication that the initial evaluation may have been inadequate (1926.1203(f)). If the employer's competent person determines that the space is a permit-required confined space, the following provisions also apply: entry communication and coordination (1926.1203(h)), permit-required confined space program (1926.1204), permitting process (1926.1205), entry permit (1926.1206), training (1926.1207), duties of authorized entrants, attendants, and entry supervisors (1926.1208-1210), and rescue and emergency services (1926.1211). 1: A competent person means someone who is capable of identifying existing and predictable hazards in the surroundings or working conditions which are unsanitary, hazardous, or dangerous to employees, and who has the authorization to take prompt corrective measures to eliminate them (see 1926.1202 definition of ""competent person"")."
22,"Does the characteristic ""contains or has the potential to contain a hazardous atmosphere"" in the definition of ""permit-required confined space"" refer only to those atmospheres which pose an acute hazard?","Yes. Where employees are exposed to hazardous atmospheres that do not present an immediate danger of death or impairment that could impede the employee's ability to exit the confined space without assistance, OSHA's health standards for those hazards apply, rather than the Confined Spaces in Construction Standard (see 1926.1202 definition of ""hazardous atmosphere""). Yes. Where employees are exposed to hazardous atmospheres that do not present an immediate danger of death or impairment that could impede the employee's ability to exit the confined space without assistance, OSHA's health standards for those hazards apply, rather than the Confined Spaces in Construction Standard (see 1926.1202 definition of ""hazardous atmosphere"")."
23,"In some residential home building 2 projects, the home builder constructs multiple homes with the same or similar basic configuration. If the presence or absence of any potential hazard in an attic, crawl space, or basement is known, does the Standard require a competent person to examine each attic, crawl space, or basement in each home to make a determination as to whether the space is a permit-required confined space?","No. The standard requires a competent person to identify all permit-required confined spaces in which employees may work ""through consideration and evaluation of the elements of that space, including testing as necessary."" 1926.1203(a). If a competent person can reliably determine whether attics, crawl spaces, or basements with the same or similar configuration contain one of the hazards or potential hazards listed in response to Question 2 without physically inspecting each of the spaces, the competent person need not physically examine each space to make the identification required under 1926.1203(a). 2: As used in these FAQs, ""residential home building"" or ""residential home construction"" refers to work on any residence being built using traditional wood frame construction materials, methods, and procedures that are typical to single-family home or townhouse construction. Traditional wood frame construction materials and methods include (1) framing materials – wood (or equivalent cold-formed sheet metal stud) framing (not steel or concrete), wooden floor joists and roof structures; (2) exterior wall structure – wood (or equivalent cold-formed sheet metal stud) framing or masonry brick or block; and (3) methods – traditional wood frame construction techniques (see OSHA's Compliance Guidance for Residential Construction, STD 03-11-002 (June 6, 2011), available on OSHA's website). Work on multi-family residences may also be considered ""residential home building"" or ""residential home construction"" provided that the work similarly meets the criteria set forth above. No. The standard requires a competent person to identify all permit-required confined spaces in which employees may work ""through consideration and evaluation of the elements of that space, including testing as necessary."" 1926.1203(a). If a competent person can reliably determine whether attics, crawl spaces, or basements with the same or similar configuration contain one of the hazards or potential hazards listed in response to Question 2 without physically inspecting each of the spaces, the competent person need not physically examine each space to make the identification required under 1926.1203(a). 2: As used in these FAQs, ""residential home building"" or ""residential home construction"" refers to work on any residence being built using traditional wood frame construction materials, methods, and procedures that are typical to single-family home or townhouse construction. Traditional wood frame construction materials and methods include (1) framing materials – wood (or equivalent cold-formed sheet metal stud) framing (not steel or concrete), wooden floor joists and roof structures; (2) exterior wall structure – wood (or equivalent cold-formed sheet metal stud) framing or masonry brick or block; and (3) methods – traditional wood frame construction techniques (see OSHA's Compliance Guidance for Residential Construction, STD 03-11-002 (June 6, 2011), available on OSHA's website). Work on multi-family residences may also be considered ""residential home building"" or ""residential home construction"" provided that the work similarly meets the criteria set forth above."
24,"Does the mere presence of a physical hazard in an attic, crawl space, or basement (before steps are installed) make the space a permit-required confined space under the Standard?","No. However, if the attic, crawl space, or basement (before steps are installed) is a confined space, the presence of a physical hazard in the space would trigger the permit-required confined space requirements if the physical hazard is not isolated 3 (see 1926.1203(g)) or if there is potential employee exposure to the physical hazard. Note that not all unsafe conditions constitute ""physical hazards,"" which the standard defines as only those conditions that could impede an entrant's ability to exit the space without assistance. 3: For physical hazards, the Standard defines the term ""isolate"" as ""the process by which employees are completely protected against . . . contact with a physical hazard, by means such as Blanking or blinding; misaligning or removing sections of lines, pipes, or ducts; a double block and bleed system; lockout or tagout of all sources of energy; blocking or disconnecting all mechanical linkages; or placement of barriers to eliminate the potential for employee contact with a physical hazard."" 1926.1202. Guarding by location is also an acceptable means of isolation under the Standard (see response to Question 61). No. However, if the attic, crawl space, or basement (before steps are installed) is a confined space, the presence of a physical hazard in the space would trigger the permit-required confined space requirements if the physical hazard is not isolated 3 (see 1926.1203(g)) or if there is potential employee exposure to the physical hazard. Note that not all unsafe conditions constitute ""physical hazards,"" which the standard defines as only those conditions that could impede an entrant's ability to exit the space without assistance. 3: For physical hazards, the Standard defines the term ""isolate"" as ""the process by which employees are completely protected against . . . contact with a physical hazard, by means such as Blanking or blinding; misaligning or removing sections of lines, pipes, or ducts; a double block and bleed system; lockout or tagout of all sources of energy; blocking or disconnecting all mechanical linkages; or placement of barriers to eliminate the potential for employee contact with a physical hazard."" 1926.1202. Guarding by location is also an acceptable means of isolation under the Standard (see response to Question 61)."
25,"Does the presence of electrical equipment in an attic, crawl space, or basement (before steps are installed) automatically make the attic, crawl space, or basement (before steps are installed) a permit-required confined space?","No. Only if an entrant has exposure to a serious hazard associated with the electrical equipment, such as an exposed live conductor, and the exposure could impede the entrant's ability to exit the space without assistance, would the presence of electrical equipment make the attic, crawl space, or basement (before steps are installed) a permit-required confined space. No. Only if an entrant has exposure to a serious hazard associated with the electrical equipment, such as an exposed live conductor, and the exposure could impede the entrant's ability to exit the space without assistance, would the presence of electrical equipment make the attic, crawl space, or basement (before steps are installed) a permit-required confined space."
26,"Is a dimly lit attic, crawl space, or basement (before steps are installed) necessarily a permit-required confined space?","No. A confined space with limited lighting alone would not be considered a permit-required confined space, provided that the limited lighting could not impede an entrant's ability to exit the space without assistance. 4 4: Note, however, that dimly lit spaces can potentially pose other safety hazards, and lighting must comply with 29 C.F.R 1926.56. No. A confined space with limited lighting alone would not be considered a permit-required confined space, provided that the limited lighting could not impede an entrant's ability to exit the space without assistance. 4 4: Note, however, that dimly lit spaces can potentially pose other safety hazards, and lighting must comply with 29 C.F.R 1926.56."
27,"Does the mere presence of animals in an attic, crawl space, or basement (before steps are installed) that is a confined space automatically make the attic, crawl space, or basement (before steps are installed) a permit-required confined space?","No. The presence of animals would only make a confined space a permit-required confined space if the animals posed a physical hazard, as defined by the standard. No. The presence of animals would only make a confined space a permit-required confined space if the animals posed a physical hazard, as defined by the standard."
28,"Does the presence of water in an attic, crawl space, or basement (before steps are installed) that is a confined space always make the attic, crawl space, or basement (before steps are installed) a permit-required confined space?",No. No.
29,"Are attics, crawl spaces, or basements (before steps are installed) containing utility service lines (e.g., water, natural gas, fuel oil, sewage, steam and electric power) that pass through them always considered to be permit-required confined spaces?","No. If utility services pass through attics, crawl spaces, or basements (before steps are installed) that are confined spaces, the inherent hazards of the material flowing through the service lines do not have to be considered in the permit space determination unless it is reasonably foreseeable that a rupture or leak could occur such that the contents of the service lines could cause a serious safety or health hazard that could impede an entrant's ability to exit the space without assistance. No. If utility services pass through attics, crawl spaces, or basements (before steps are installed) that are confined spaces, the inherent hazards of the material flowing through the service lines do not have to be considered in the permit space determination unless it is reasonably foreseeable that a rupture or leak could occur such that the contents of the service lines could cause a serious safety or health hazard that could impede an entrant's ability to exit the space without assistance."
30,Are all attics in a residential home considered confined spaces under the Standard?,"No. A confined space is a space that (1) is large enough and so configured that an employee can bodily enter it; (2) has limited or restricted means for entry and exit; and (3) is not designed for continuous employee occupancy. All three criteria must be met for an attic to be considered a confined space. In many instances, an attic will not be considered a confined space because there is not limited or restricted means for entry and exit. For example, attics with a permanent, full-size doorway and/or stairwell access would rarely 5 meet the definition of a confined space, provided there are no other impediments to egress. An attic under construction where there is no drywall in place would also not have limited or restricted means for entry or exit and would not be considered a confined space. 5: See response to Question 38 regarding stairwell access to attics. No. A confined space is a space that (1) is large enough and so configured that an employee can bodily enter it; (2) has limited or restricted means for entry and exit; and (3) is not designed for continuous employee occupancy. All three criteria must be met for an attic to be considered a confined space. In many instances, an attic will not be considered a confined space because there is not limited or restricted means for entry and exit. For example, attics with a permanent, full-size doorway and/or stairwell access would rarely 5 meet the definition of a confined space, provided there are no other impediments to egress. An attic under construction where there is no drywall in place would also not have limited or restricted means for entry or exit and would not be considered a confined space. 5: See response to Question 38 regarding stairwell access to attics."
31,Are attics that are confined spaces generally considered permit-required confined spaces?,No. Attics that are determined to be confined spaces would generally not be permit-required confined spaces because they typically do not contain the types of hazards or potential hazards that make a confined space a permit-required confined space (see response to Question 2 ). No. Attics that are determined to be confined spaces would generally not be permit-required confined spaces because they typically do not contain the types of hazards or potential hazards that make a confined space a permit-required confined space (see response to Question 2 ).
32,Does the presence of a fall hazard alone in an attic make an attic a permit-required confined space?,"No. A fall hazard in an attic – such as falling through the drywall of the attic – could cause a serious injury. However, fall hazards within an attic would not generally impede the ability of an entrant to exit the space without assistance and therefore would not trigger the permit-required confined space requirements. OSHA notes that even though permit-required confined space requirements would not be triggered in this situation, employers would still be obligated to protect their employees from fall hazards – as appropriate and required – when they are working in an attic where fall hazards exist. No. A fall hazard in an attic – such as falling through the drywall of the attic – could cause a serious injury. However, fall hazards within an attic would not generally impede the ability of an entrant to exit the space without assistance and therefore would not trigger the permit-required confined space requirements. OSHA notes that even though permit-required confined space requirements would not be triggered in this situation, employers would still be obligated to protect their employees from fall hazards – as appropriate and required – when they are working in an attic where fall hazards exist."
33,Does the presence of a mechanical fan in an attic automatically make the attic a permit-required confined space?,No. The presence of a mechanical fan would only make the attic a permit-required confined space if it is reasonably foreseeable that the fan could cause an injury that could impede an entrant's ability to exit the space without assistance. No. The presence of a mechanical fan would only make the attic a permit-required confined space if it is reasonably foreseeable that the fan could cause an injury that could impede an entrant's ability to exit the space without assistance.
34,Does the presence of asbestos in an attic make the attic a permit-required confined space?,"No. Asbestos would not trigger the permit-required confined space requirements of the Standard. However, if asbestos were present in an attic, an employer would need to follow any applicable requirements of OSHA's asbestos standards. No. Asbestos would not trigger the permit-required confined space requirements of the Standard. However, if asbestos were present in an attic, an employer would need to follow any applicable requirements of OSHA's asbestos standards."
35,"When does an employee perform an ""entry"" into an attic for purposes of the Standard?","The Standard defines ""entry"" as the action by which any part of a person passes through an opening into a permit-required confined space . Thus, regardless of whether or not such action is intentional or any work activities are actually performed in the space, if any body part of an entrant breaks the plane of an attic opening, that would constitute an entry under the Standard, provided that the attic also meets the requirements of a permit-required confined space . The Standard defines ""entry"" as the action by which any part of a person passes through an opening into a permit-required confined space . Thus, regardless of whether or not such action is intentional or any work activities are actually performed in the space, if any body part of an entrant breaks the plane of an attic opening, that would constitute an entry under the Standard, provided that the attic also meets the requirements of a permit-required confined space ."
